Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-12-25 00:00:00+05:30,53.306632995605476,53.306632995605476,53.306632995605476,53.30663299560547,0,0.0,0.0
1995-12-26 00:00:00+05:30,53.306632995605476,53.306632995605476,53.306632995605476,53.30663299560547,0,0.0,0.0
1995-12-27 00:00:00+05:30,53.306632995605476,53.306632995605476,53.306632995605476,53.30663299560547,0,0.0,0.0
1995-12-28 00:00:00+05:30,53.306632995605476,53.306632995605476,53.306632995605476,53.30663299560547,0,0.0,0.0
1995-12-29 00:00:00+05:30,53.306632995605476,53.306632995605476,53.306632995605476,53.30663299560547,0,0.0,0.0
1996-01-01 00:00:00+05:30,53.026070711103,53.306632995605476,52.955934328724545,53.30663299560547,40703,0.0,0.0
1996-01-02 00:00:00+05:30,53.3066320725324,53.85372712158951,52.745513098240174,52.998016357421875,100975,0.0,0.0
1996-01-03 00:00:00+05:30,52.99801829753417,53.30663402394228,52.78058322097475,52.82266616821289,29744,0.0,0.0
1996-01-04 00:00:00+05:30,52.822672646270284,52.88579986736744,52.11425487173025,52.42287063598633,104889,0.0,0.0
1996-01-05 00:00:00+05:30,52.42287370902462,52.57718718519554,52.04412153023319,52.233497619628906,62620,0.0,0.0
1996-01-08 00:00:00+05:30,52.23348759445892,52.324668243334536,51.76354925448948,52.25453186035156,131503,0.0,0.0
1996-01-09 00:00:00+05:30,52.25452487924659,52.18438292063819,51.06213950788142,51.38478469848633,63142,0.0,0.0
1996-01-10 00:00:00+05:30,51.384796278992745,52.32467304518436,51.62327005601291,52.21244812011719,67577,0.0,0.0
1996-01-11 00:00:00+05:30,52.21245762658455,53.061159475055156,51.973983806144794,52.65434265136719,80623,0.0,0.0
1996-01-12 00:00:00+05:30,52.65432307476357,53.65031769952349,52.605225377486185,53.292598724365234,54532,0.0,0.0
1996-01-15 00:00:00+05:30,53.29259777356073,56.673363165742614,52.62626870240113,52.98398208618164,28961,0.0,0.0
1996-01-16 00:00:00+05:30,52.98399340487579,53.166360305464586,52.48599599499612,52.86475372314453,106715,0.0,0.0
1996-01-17 00:00:00+05:30,52.86475169289119,52.9910061257575,52.60523365644073,52.626277923583984,61837,0.0,0.0
1996-01-18 00:00:00+05:30,52.62626934660184,52.88578734075628,51.62325997284849,52.7595329284668,73318,0.0,0.0
1996-01-19 00:00:00+05:30,52.75954084319015,53.02607363189968,52.32467067450674,52.85072708129883,81145,0.0,0.0
1996-01-22 00:00:00+05:30,52.850732202235996,53.44692505303754,52.74552202768261,53.313655853271484,450084,0.0,0.0
1996-01-23 00:00:00+05:30,53.313640923999316,53.306626169660476,51.83367855338149,51.91083526611328,36789,0.0,0.0
1996-01-24 00:00:00+05:30,51.91083758025889,51.90382282560734,49.799614244974265,50.332679748535156,99931,0.0,0.0
1996-01-25 00:00:00+05:30,50.33268908289295,51.20242946105024,50.09421530549301,50.536094665527344,84015,0.0,0.0
1996-01-26 00:00:00+05:30,50.536094665527344,50.536094665527344,50.536094665527344,50.536094665527344,0,0.0,0.0
